"Title","Director","Year","Country","Synopsis","Image","TitleTreatment","Artwork","FocalX","FocalY","OurTake","TrailerURL","PreviewURL"
"My First Film","Zia Anger","2024","United States","A young filmmaker, Vita, revisits her first chaotic attempt at filmmaking 15 years prior. Shooting a semi-autobiographical film starring her friend Dina, Vita’s eager but inexperienced approach causes the production to spiral into chaos, leading to significant disruptions and a near-fatal accident.","https://assets.mubicdn.net/images/film/391609/image-w448.jpg?1745502467","https://images.mubicdn.net/images/artworks/704280/cache-704280-1725530676/images-original.png","https://images.mubicdn.net/images/artworks/697586/cache-697586-1722439703/images-original.png","0.320334","0.502475","Following a celebrated performance piece about creative evolution, Zia Anger turns narrative cinema inside out with this meta-fiction, starring Odessa Young and Devon Ross. Transforming failure into rituals of rebirth, this poignant film captures the zeitgeist and comes straight from the heart.","https://trailers.mubicdn.net/391609/optimised/1080p-t-my-first-film_en_us_1725528617.mp4","https://trailers.mubicdn.net/391609/optimised/240p-t-my-first-film_en_us_1725528617.mp4"
"Crossing","Levan Akin","2024","Sweden, Turkey","Lia, a retired teacher from Georgia, learns from her young neighbor, Achi, that her long-lost transgender niece, Tekla, has crossed the border into Turkey. In search of Tekla, Lia travels to Istanbul with the unpredictable Achi, where they explore the hidden depths of the city.","https://assets.mubicdn.net/images/film/374529/image-w448.jpg?1745502259","https://images.mubicdn.net/images/artworks/702731/cache-702731-1724061240/images-original.png","https://images.mubicdn.net/images/artworks/682776/cache-682776-1717521693/images-original.jpg","0.536857","0.353086","Director Levan Akin centers the vital spirit of Istanbul's trans community in this poignant story of unlikely connection. With three exquisite performances that vividly transcend generational divides, Crossing is a defiant city symphony and a compassionate tale of hope, identity, and forgiveness.","https://trailers.mubicdn.net/374529/optimised/1080p-t-crossing-2023-levan-akin_en_us_1725006017.mp4","https://trailers.mubicdn.net/374529/optimised/240p-t-crossing-2023-levan-akin_en_us_1725006017.mp4"
"Gasoline Rainbow","Bill Ross IV, Turner Ross","2023","United States","With high school in the rearview, five teenagers from inland Oregon embark on one last adventure. Piling into a van with a busted tail light, their mission takes them to a place they’ve never been—the Pacific coast, five hundred miles away. Their plan, in full: “Fuck it.”","https://assets.mubicdn.net/images/film/385392/image-w448.jpg?1745501631","https://images.mubicdn.net/images/artworks/689852/cache-689852-1716902306/images-original.png","https://images.mubicdn.net/images/artworks/621538/cache-621538-1713269262/images-original.jpg","0.481894","0.116337","Reimagining the road movie with the next generation of misfits, celebrated directorial duo the Ross Brothers make a coming-of-age film that runs on free-flowing feeling. Alive with friendship and the promise of the moment, Gasoline Rainbow is a beautiful reminder of what matters and what's real.","https://trailers.mubicdn.net/385392/optimised/1080p-t-gasoline-rainbow_en_us_1717138909.mp4","https://trailers.mubicdn.net/385392/optimised/240p-t-gasoline-rainbow_en_us_1717138909.mp4"
"The Delinquents","Rodrigo Moreno","2023","Argentina, Brazil","Bank employee Morán schemes to steal enough money to liberate himself from corporate monotony, then confess and serve prison time while his co-worker hides the cash. Soon under pressure by a company investigator, accomplice Román later encounters a mysterious woman who will transform him forever.","https://assets.mubicdn.net/images/film/376078/image-w448.jpg?1745501368","https://images.mubicdn.net/images/artworks/653462/cache-653462-1702307286/images-original.png","https://images.mubicdn.net/images/artworks/544262/cache-544262-1702405487/images-original.jpg","0.48468","0.638614","Rebelling against the banality of work, Rodrigo Moreno's playful and restorative Cannes highlight reinvents the heist film as a free-flowing adventure in which love and epiphanies bloom. A beguiling and defiant quest for personal freedom that dares to embrace the strangeness of life with open arms.","https://trailers.mubicdn.net/376078/optimised/1080p-t-los-delincuentes_en_us_1716517893.mp4","https://trailers.mubicdn.net/376078/optimised/240p-t-los-delincuentes_en_us_1716517893.mp4"
"High & Low - John Galliano","Kevin Macdonald","2023","United Kingdom","Fashion designer John Galliano was widely recognized as one of the most influential names in 1990s and 2000s couture until his career abruptly ended in 2011. Candid footage—plus conversations with Naomi Campbell, Kate Moss, Anna Wintour and more—trace Galliano’s turbulent career through the decades.","https://assets.mubicdn.net/images/film/380148/image-w448.jpg?1745501368","https://images.mubicdn.net/images/artworks/682249/cache-682249-1713881270/images-original.png","https://images.mubicdn.net/images/artworks/635852/cache-635852-1709570099/images-original.jpg","0.518106","0.363861","Reliving triumphs and controversies, fashion designer John Galliano takes center stage in this grippingly nuanced portrait from Oscar®-winner Kevin Macdonald. Star-studded interviews and rare archival footage reveal the toxicity behind exquisite glamor and spectacle, both on and off the runway.","https://trailers.mubicdn.net/380148/optimised/720p-t-high-low-john-galliano_en_us_1714138949.mp4","https://trailers.mubicdn.net/380148/optimised/240p-t-high-low-john-galliano_en_us_1714138949.mp4"
"Perfect Days","Wim Wenders","2023","Japan, Germany","Hirayama lives a life of blissful contentment, spending his days balancing his job as a caretaker of Tokyo’s public toilets with his passion for music, literature, and photography. His structured routine is slowly interrupted by unexpected encounters that force him to reconnect with his past.","https://assets.mubicdn.net/images/film/343977/image-w448.jpg?1745501776","https://images.mubicdn.net/images/artworks/674402/cache-674402-1711023948/images-original.png","https://images.mubicdn.net/images/artworks/664404/cache-664404-1707317538/images-original.jpg","0.589958","0.277228","Kôji Yakusho won Best Actor in Cannes for this heart-warming, Oscar®-nominated drama from Wim Wenders, who lends his humanist gaze to the inhabitants of his beloved Tokyo. Charged with a superb soundtrack of classic rock and pop, Perfect Days finds beauty and serenity in the most unexpected places.","https://trailers.mubicdn.net/343977/optimised/720p-t-perfect-days_en_us_1712861363.mp4","https://trailers.mubicdn.net/343977/optimised/240p-t-perfect-days_en_us_1712861363.mp4"
"The Settlers","Felipe Gálvez","2023","Chile, Argentina","Chile, 1901. Three horsemen embark on an expedition, tasked with securing a wealthy landowner’s vast property. Accompanying a British lieutenant and an American mercenary is mestizo marksman Segundo, who comes to realize their true mission is to violently “remove” the indigenous population.","https://assets.mubicdn.net/images/film/376083/image-w448.jpg?1745502117","https://images.mubicdn.net/images/artworks/674888/cache-674888-1711365406/images-original.png","https://images.mubicdn.net/images/artworks/662884/cache-662884-1707318628/images-original.jpg","0.332406","0.540741","Writer-director Felipe Gálvez emerges as a startling new voice in Latin American cinema with this searing revisionist western. Capturing majestic landscapes with a painterly eye, Chile's official Oscar® entry is a singularly immersive reckoning with national myth-making and its attendant violence.","https://trailers.mubicdn.net/376083/optimised/1080p-t-the-settlers-2023_en_us_1711685367.mp4","https://trailers.mubicdn.net/376083/optimised/240p-t-the-settlers-2023_en_us_1711685367.mp4"
"Priscilla","Sofia Coppola","2023","United States, Italy","From a German army base to his dream-world estate at Graceland: through Priscilla Presley’s eyes, Sofia Coppola tells the unseen side of a great American myth in Elvis and Priscilla’s long courtship and turbulent marriage.","https://assets.mubicdn.net/images/film/354432/image-w448.jpg?1745501476","https://images.mubicdn.net/images/artworks/664347/cache-664347-1709287528/images-original.png","https://images.mubicdn.net/images/artworks/647476/cache-647476-1705647962/images-original.jpg","0.461752","0.296296","The gilded cage of fame is beguiling but lonesome in Sofia Coppola's sumptuous adaptation of Priscilla Presley's memoir. Starring a revelatory, award-winning Cailee Spaeny next to Jacob Elordi as Elvis, this dark fairytale charts the highs and the lows of a life spent in the shadow of the King.","https://trailers.mubicdn.net/354432/optimised/720p-t-priscilla_en_us_1709238795.mp4","https://trailers.mubicdn.net/354432/optimised/240p-t-priscilla_en_us_1709238795.mp4"
"Fallen Leaves","Aki Kaurismäki","2023","Finland, Germany","In modern-day Helsinki, Ansa and Holappa, two lonely souls in search of their first love, meet by chance in a local karaoke bar. However, the pair’s path to happiness is beset by numerous obstacles—from lost phone numbers to mistaken addresses, alcoholism, and a charming stray dog.","https://assets.mubicdn.net/images/film/346537/image-w448.jpg?1745501249","https://images.mubicdn.net/images/artworks/660141/cache-660141-1705315258/images-original.png","https://images.mubicdn.net/images/artworks/660672/cache-660672-1705646245/images-original.png","0.38943","0.397531","Moviegoing dreamers, there is hope for us still in this timeless, tender romance from living legend Aki Kaurismäki. Imbued with the filmmaker's idiosyncratic playfulness and deadpan humor, this bittersweet comedy charmed even the most dour of critics and, delightfully, won the Jury Prize at Cannes.","https://trailers.mubicdn.net/346537/optimised/720p-t-fallen-leaves-2023_en_us_1705637730.mp4","https://trailers.mubicdn.net/346537/optimised/240p-t-fallen-leaves-2023_en_us_1705637730.mp4"
"Passages","Ira Sachs","2023","France","Tomas and Martin are a gay couple living in Paris whose marriage is thrown into crisis when Tomas impulsively begins a passionate affair with young schoolteacher Agathe. But when Martin begins an affair of his own, Tomas must confront life decisions he may be unprepared—or unwilling—to deal with.","https://assets.mubicdn.net/images/film/325455/image-w448.jpg?1745499517","https://images.mubicdn.net/images/artworks/634357/cache-634357-1695295568/images-original.png","https://images.mubicdn.net/images/artworks/621584/cache-621584-1696580465/images-original.jpg","0.446453","0.185185","Three lovers spin in a vortex of pent-up desire and resentment in Ira Sachs' fresh, honest and acerbically funny take on messy, modern relationships. Just like its dynamic leads—Franz Rogowski, Adèle Exarchopoulos and Ben Whishaw—this refreshingly fluid relationship drama simply oozes sex appeal.","https://trailers.mubicdn.net/325455/optimised/1080p-t-passages-2022_en_us_1696575986.mp4","https://trailers.mubicdn.net/325455/optimised/240p-t-passages-2022_en_us_1696575986.mp4"
"Rotting in the Sun","Sebastián Silva","2023","United States, Mexico","After encountering social media celebrity Jordan Firstman at a gay nudist beach, Sebastián Silva reluctantly agrees to direct his new project. But when Sebastián goes missing, Jordan embarks on a wild, quasi-detective journey through Mexico City.","https://assets.mubicdn.net/images/film/364307/image-w448.jpg?1745500732","https://images.mubicdn.net/images/artworks/650834/cache-650834-1701191816/images-original.png","https://images.mubicdn.net/images/artworks/624239/cache-624239-1694638771/images-original.jpg","0.494429","0.378713","Getting sucked into an infinite loop of drugs, men and dizzying mystery? That's one cure for writer's block! Frolicking and squabbling across the beaches, clubs, and rooftops of Mexico, Sebastián Silva and Jordan Firstman play hilarious versions of themselves in this absurd and sexy meta-comedy.","https://trailers.mubicdn.net/364307/optimised/1080p-t-rotting-in-the-sun_en_us_1694769470.mp4","https://trailers.mubicdn.net/364307/optimised/240p-t-rotting-in-the-sun_en_us_1694769470.mp4"
"Medusa Deluxe","Thomas Hardiman","2022","United Kingdom","After a stylist is found dead at a hairdressing competition, the remaining competitors try to uncover the killer over the course of an evening. Rivalry and mistrust build as the contestants suspect that someone may be trying to rig the competition, by gruesomely picking off its entrants.","https://assets.mubicdn.net/images/film/343641/image-w448.jpg?1745499941","https://images.mubicdn.net/images/artworks/622719/cache-622719-1690983749/images-original.png","https://images.mubicdn.net/images/artworks/545677/cache-545677-1691012270/images-original.jpg","0.263248","0.486322","The air is thick with hairspray, wicked gossip, and even murder in Thomas Hardiman's audacious and extravagant one-shot whodunnit, uniquely set amid a hairdressing contest. Feast your eyes on a dazzling array of wild styles concocted by the legendary Eugene Souleiman—they are surely full of secrets!","https://trailers.mubicdn.net/343641/optimised/1080p-t-medusa-deluxe_en_us_1691139792.mp4","https://trailers.mubicdn.net/343641/optimised/240p-t-medusa-deluxe_en_us_1691139792.mp4"
"Return to Seoul","Davy Chou","2022","France, Germany","Wanting to reconnect with her origins, 25-year-old Freddie impulsively returns to her birthplace of South Korea for the first time since she was adopted and raised in France. Freddie begins to track down her biological parents, embarking on an unexpected journey in a country she knows little about.","https://assets.mubicdn.net/images/film/339537/image-w448.jpg?1745499786","https://images.mubicdn.net/images/artworks/615346/cache-615346-1688487715/images-original.png","https://images.mubicdn.net/images/artworks/800095/cache-800095-1751989761/images-original.png","0.430769","0.231003","A moving search for identity in neon-drenched Seoul, Davy Chou's mercurial drama aches with diasporic longing, which thrums through an exquisitely curated soundtrack. Dazzling in her vulnerability, first-time actress Park Ji-Min ferociously embodies the tragicomic chaos of living between cultures.","https://trailers.mubicdn.net/339537/optimised/1080p-t-return-to-seoul_en_us_1688719714.mp4","https://trailers.mubicdn.net/339537/optimised/240p-t-return-to-seoul_en_us_1688719714.mp4"
"One Fine Morning","Mia Hansen-Løve","2022","France, Germany","In Paris, a young, widowed mother juggles her job as a translator with caring both for her young daughter and her elderly father, who suffers from a degenerative illness. Her life is further complicated when she embarks on a passionate affair with an old friend in an unhappy marriage.","https://assets.mubicdn.net/images/film/330413/image-w448.jpg?1745499808","https://images.mubicdn.net/images/artworks/609674/cache-609674-1686751147/images-original.png","https://images.mubicdn.net/images/artworks/612125/cache-612125-1689074647/images-original.jpg","0.849582","0.299505","As sensual as the first rays of summer, Mia Hansen-Løve's latest triumph journeys through the threshold of love and loss with exquisite tenderness. Delivering a career-best performance that aches with vulnerability and strength, Léa Seydoux stuns in this profound portrayal of contemporary womanhood.","https://trailers.mubicdn.net/330413/optimised/1080p-t-one-fine-morning-2022_en_us_1686844991.mp4","https://trailers.mubicdn.net/330413/optimised/240p-t-one-fine-morning-2022_en_us_1686844991.mp4"
"Unclenching the Fists","Kira Kovalenko","2021","Russia","Ada is stuck. Living in a dead-end industrial town in North Ossetia, she is a young woman caught in the grip of the domineering men in her life. But when her older brother returns home and her tyrannical father suddenly falls ill, Ada finally sees a possible path to freedom.","https://assets.mubicdn.net/images/film/307330/image-w448.jpg?1745500680","https://images.mubicdn.net/images/artworks/544403/cache-544403-1684942115/images-original.png","https://images.mubicdn.net/images/artworks/823673/cache-823673-1752014411/images-original.png","0.518776","0.474074","The winner of Cannes’s Un Certain Regard award in 2021 is the visceral story of a young woman’s struggle to free herself from the grip of her father—and the patriarchy with it. With the intensity of a thriller, this stirring feminist portrait announces a tremendous talent in director Kira Kovalenko.","https://trailers.mubicdn.net/307330/optimised/1080p-t-unclenching-the-fists_en_us_1685121545.mp4","https://trailers.mubicdn.net/307330/optimised/240p-t-unclenching-the-fists_en_us_1685121545.mp4"
