id,title,release_date,vote_average,vote_count,popularity,runtime,budget,revenue,genres,overview,poster_url,backdrop_url,cast,director
603,The Matrix,1999-03-31,8.246,27909,257.5238,136,63000000,463517383,"Action, Science Fiction","Set in the 22nd century, The Matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth.",https://image.tmdb.org/t/p/original/aOIuZAjPaRIE6CMzbazvcHuHXDc.jpg,https://image.tmdb.org/t/p/original/tlm8UkiQsitc8rSuIAscQDCnP8d.jpg,"Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving, Gloria Foster",Lana Wachowski
1523145,Your Heart Will Be Broken,2026-03-26,6.762,82,255.3572,134,3716000,7578000,"Romance, Drama","High school student Polina is saved from bullying at her new school and makes a deal with the main bully Bars: he must pretend to be her boyfriend and protect her, and she must do everything he says. During this game, the couple develops real feelings, but her family and classmates have reasons to separate the lovers.",https://image.tmdb.org/t/p/original/7wIBfBl2gejt6xHxNSK0reVIm7E.jpg,https://image.tmdb.org/t/p/original/1x9e0qWonw634NhIsRdvnneeqvN.jpg,"Daniel Vegas, Veronika Zhuravleva, Ivan Trushin, Maksim Saprykin, Alya Mayer",Mikhail Vaynberg
1371023,Chand Mera Dil,2026-05-22,5.5,2,175.793,142,0,0,"Romance, Drama","Aarav and Chandni's passionate college romance is struck by adulthood far too soon, forcing the two young lovers to balance their ambitions with responsibility and realize the evolved meaning of love.",https://image.tmdb.org/t/p/original/9LPkXJustudEBgPZEm9tgDx5KtC.jpg,https://image.tmdb.org/t/p/original/kkRpcauZoBFKnH0Qsy7J5qtwBF5.jpg,"Ananya Panday, Lakshya Lalwani, Aastha Singh, Paresh Pahuja, Manish Chaudhary",Vivek Soni
1320660,Pati Patni Aur Woh Do,2026-05-15,7.5,4,167.4581,117,0,0,Comedy,"A seemingly perfect marriage in Prayagraj takes an unexpected turn when one decision leads to a chain of misunderstandings, suspicion, and comedic chaos.",https://image.tmdb.org/t/p/original/x0RUPvba4JlCCkyyEZGlQFIFVuF.jpg,https://image.tmdb.org/t/p/original/eNAFLrd1XAAD4hgdTPjewpzYU4W.jpg,"Ayushmann Khurrana, Wamiqa Gabbi, Rakul Preet Singh, Sara Ali Khan, Vijay Raaz",Mudassar Aziz
1390300,Over Your Dead Body,2026-04-24,6.848,69,160.3583,106,0,2055131,"Action, Comedy, Thriller","A dysfunctional couple head to a remote cabin to ""reconnect"", but each has secret intentions to kill the other.",https://image.tmdb.org/t/p/original/fqXIk1BY0tJvlqwiTw2HL9gegqE.jpg,https://image.tmdb.org/t/p/original/sb76azrAXr9U13uEQxNP5e3fujY.jpg,"Samara Weaving, Jason Segel, Paul Guilfoyle, Timothy Olyphant, Keith Jardine",Jorma Taccone
1228710,The Mandalorian and Grogu,2026-05-20,6.871,346,162.5472,132,165000000,246600000,"Action, Adventure, Science Fiction","The evil Empire has fallen, and Imperial warlords remain scattered throughout the galaxy. As the fledgling New Republic works to protect everything the Rebellion fought for, they have enlisted the help of legendary Mandalorian bounty hunter Din Djarin and his young apprentice Grogu.",https://image.tmdb.org/t/p/original/5Vi8dSauVwH1HOsiZceDMbRr1Ca.jpg,https://image.tmdb.org/t/p/original/6zg7A9ICOthNR2TSXlT51KvXrsA.jpg,"Pedro Pascal, Jeremy Allen White, Sigourney Weaver, Brendan Wayne, Lateef Crowder",Jon Favreau
1419406,The Shadow's Edge,2025-08-16,7.422,702,168.7615,142,0,174400000,"Action, Crime, Drama, Thriller",Macau Police brings the tracking expert police officer out of retirement to help catch a dangerous group of professional thieves.,https://image.tmdb.org/t/p/original/cHKo3m8N1fwvEy2ZEr0xGmmMODV.jpg,https://image.tmdb.org/t/p/original/4BtL2vvEufDXDP4u6xQjjQ1Y2aT.jpg,"Jackie Chan, Zhang Zifeng, Tony Leung Ka-fai, Ci Sha, Jun",Larry Yang
931285,Mortal Kombat II,2026-05-06,6.8,352,167.7321,116,80000000,127958867,"Action, Fantasy, Adventure","The fan favorite champions—now joined by Johnny Cage himself—are pitted against one another in the ultimate, no-holds barred, gory battle to defeat the dark rule of Shao Kahn that threatens the very existence of the Earthrealm and its defenders.",https://image.tmdb.org/t/p/original/lIsMeDbwntNXSUVHmWMMRXEZOVc.jpg,https://image.tmdb.org/t/p/original/4EAAwpylq313qrDqpCxulUrXBNF.jpg,"Karl Urban, Adeline Rudolph, Jessica McNamee, Josh Lawson, Martyn Ford",Simon McQuoid
460465,Mortal Kombat,2021-04-07,7.035,6674,151.1462,110,20000000,84426031,"Action, Fantasy, Adventure","Washed-up MMA fighter Cole Young, unaware of his heritage, and hunted by Emperor Shang Tsung's best warrior, Sub-Zero, seeks out and trains with Earth's greatest champions as he prepares to stand against the enemies of Outworld in a high stakes battle for the universe.",https://image.tmdb.org/t/p/original/ybrX94xQm8lXYpZAPRmwD9iIbWP.jpg,https://image.tmdb.org/t/p/original/6ELCZlTA5lGUops70hKdB83WJxH.jpg,"Lewis Tan, Jessica McNamee, Mehcad Brooks, Josh Lawson, Ludi Lin",Simon McQuoid
249397,Nymphomaniac: Vol. II,2013-12-25,6.711,3168,152.8571,124,2350000,4934725,"Drama, Mystery",The continuation of Joe's sexually dictated life delves into the darker aspects of her adult life and what led to her being in Seligman's care.,https://image.tmdb.org/t/p/original/iLUNqgNKuWn667kXCKztSxYbT3k.jpg,https://image.tmdb.org/t/p/original/oQEAWIr3thvSICvoQnFEqyuf0Oz.jpg,"Charlotte Gainsbourg, Stellan Skarsgård, Stacy Martin, Shia LaBeouf, Willem Dafoe",Lars von Trier
350,The Devil Wears Prada,2006-06-29,7.427,13623,155.4556,109,35000000,326588371,"Drama, Comedy","A young woman from the Midwest gets more than she bargained for when she moves to New York to become a writer and ends up as the assistant to the tyrannical, larger-than-life editor-in-chief of a major fashion magazine.",https://image.tmdb.org/t/p/original/8912AsVuS7Sj915apArUFbv6F9L.jpg,https://image.tmdb.org/t/p/original/gkh6Nt8DtY1XT4gQsyFq9XAVJlJ.jpg,"Meryl Streep, Anne Hathaway, Emily Blunt, Stanley Tucci, Simon Baker",David Frankel
976912,Graphic Desires,2023-08-31,7.038,78,158.2495,90,0,0,"Thriller, Crime","When reclusive Franklin cheats on his partner with a mysterious girl he meets on a dating app, it becomes the start of a deadly obsession.",https://image.tmdb.org/t/p/original/3BjLdTWRiHc1ISIZMFvToOmghOM.jpg,https://image.tmdb.org/t/p/original/rHnANzYUmV3WZw3n0yWOLiR3pen.jpg,"David Wayman, Sian Altman, May Kelly, Ocean M Harris, Valis Volkova",Andy Edwards
1116201,Iron Lung,2026-01-30,7.3,170,145.7933,125,4000000,51226173,"Horror, Mystery, Science Fiction","In a post-apocalyptic future where an event known as ""The Quiet Rapture"" caused all known stars and habitable planets in the universe to disappear, a convict is sent to search an ocean of blood discovered on a desolate moon, using a small submarine nicknamed the ""Iron Lung"".",https://image.tmdb.org/t/p/original/sIwakdbMGS1krtgendTWpxTY9Hw.jpg,https://image.tmdb.org/t/p/original/gqGQ0zADV5FIcgMWtWX8FcGQjFp.jpg,"Mark Fischbach, Caroline Kaplan, Troy Baker, Elsie Lovelock, Elle LaMont",Mark Fischbach
83533,Avatar: Fire and Ash,2025-12-17,7.5,3265,154.2828,198,350000000,1490477656,"Science Fiction, Adventure, Fantasy","In the wake of the devastating war against the RDA and the loss of their eldest son, Jake Sully and Neytiri face a new threat on Pandora: the Ash People, a violent and power-hungry Na'vi tribe led by the ruthless Varang. Jake's family must fight for their survival and the future of Pandora in a conflict that pushes them to their emotional and physical limits.",https://image.tmdb.org/t/p/original/aabwWZWx6z1aYP4PX2ADvbDKktd.jpg,https://image.tmdb.org/t/p/original/iN41Ccw4DctL8npfmYg1j5Tr1eb.jpg,"Sam Worthington, Zoe Saldaña, Sigourney Weaver, Stephen Lang, Oona Chaplin",James Cameron
1327819,Hoppers,2026-03-04,8.166,1317,145.8289,104,150000000,371957634,"Adventure, Animation, Comedy, Family, Science Fiction","Scientists have discovered how to 'hop' human consciousness into lifelike robotic animals, allowing people to communicate with animals as animals. Animal lover Mabel seizes an opportunity to use the technology, uncovering mysteries within the animal world beyond anything she could have imagined.",https://image.tmdb.org/t/p/original/xjtWQ2CL1mpmMNwuU5HeS4Iuwuu.jpg,https://image.tmdb.org/t/p/original/u53UYu5XG2hNgWGvs3xGhAVzypl.jpg,"Piper Curda, Bobby Moynihan, Jon Hamm, Kathy Najimy, Dave Franco",Daniel Chong
1065834,Kattalan,2026-05-14,6.0,1,151.4169,119,0,0,"Action, Thriller","Power-hungry forces clash in the Ivory cartel war-a fierce story of control, vengeance, and survival where compassion vanishes and only the ruthless endure.",https://image.tmdb.org/t/p/original/53FATyQirV8BuBcrsQMGPvGKgCu.jpg,https://image.tmdb.org/t/p/original/wvmfToHjflWab2PHKG1vCqg2Asx.jpg,"Antony Varghese, Sunil Varma, Dushara Vijayan, Jagadish, Kabir Duhan Singh",Paul George
1367220,Karuppu,2026-05-14,7.3,9,128.292,151,0,0,"Action, Fantasy","In a world where justice falters, guardian deity Vettai Karuppu takes the guise of a lawyer to battle a corrupt legal system preying on the powerless.",https://image.tmdb.org/t/p/original/4KZXlZ5tTT6ghbW77gS4hSLkCd7.jpg,https://image.tmdb.org/t/p/original/1eAuwNBy34kkM3xkl202z4f1NiI.jpg,"Suriya, Trisha Krishnan, RJ Balaji, Indrans, Anagha Maya Ravi",RJ Balaji
1318447,Apex,2026-04-24,6.72,1318,122.1691,96,0,0,"Action, Thriller",A grieving woman pushing her limits on a solo adventure in the Australian wild is ensnared in a twisted game with a cunning killer who thinks she's prey.,https://image.tmdb.org/t/p/original/eTp7gSPkSF3Aw79mNx1NkBP1PZT.jpg,https://image.tmdb.org/t/p/original/oTE4lNs4PSG5iIWjqaTdCIFJ4Bs.jpg,"Charlize Theron, Taron Egerton, Eric Bana, Caitlin Stasey, Bessie Holland",Baltasar Kormákur
1431071,System,2026-05-22,7.5,2,105.014,124,0,0,Thriller,"When Neha Rajvansh, a privileged public prosecutor, meets Sarika Rawat, a courtroom stenographer from a humble background, their lives are thrown into upheaval where power defines truth, blurring the system and raising a question of what justice truly means to them.",https://image.tmdb.org/t/p/original/8qrddM5BRcTuqjc9crJY6e3gyE6.jpg,https://image.tmdb.org/t/p/original/7f9ZaTwyqQOJtNWUS7xZgWQOzSt.jpg,"Sonakshi Sinha, Jyothika, Ashutosh Gowariker, Adinath Kothare, Aashriya Mishra",Ashwiny Iyer Tiwari
936075,Michael,2026-04-22,7.571,886,112.6836,128,250000000,851300000,"Music, Drama","The story of Michael Jackson, one of the most influential artists the world has ever known, and his life beyond the music. His journey from the discovery of his extraordinary talent as the lead of the Jackson Five, to the visionary artist whose creative ambition fueled a relentless pursuit to become the biggest entertainer in the world, highlighting both his life off-stage and some of the most iconic performances from his early solo career.",https://image.tmdb.org/t/p/original/3Qud19bBUrrJAzy0Ilm8gRJlJXP.jpg,https://image.tmdb.org/t/p/original/xBT0oNq6rsTFv4SxG5uGRIEOrq6.jpg,"Jaafar Jackson, Colman Domingo, Nia Long, Juliano Krue Valdi, Miles Teller",Antoine Fuqua
1311031,Demon Slayer: Kimetsu no Yaiba Infinity Castle,2025-07-18,7.728,846,119.9525,156,20000000,733030221,"Animation, Action, Fantasy","The Demon Slayer Corps are drawn into the Infinity Castle, where Tanjiro, Nezuko, and the Hashira face terrifying Upper Rank demons in a desperate fight as the final battle against Muzan Kibutsuji begins.",https://image.tmdb.org/t/p/original/fWVSwgjpT2D78VUh6X8UBd2rorW.jpg,https://image.tmdb.org/t/p/original/1RgPyOhN4DRs225BGTlHJqCudII.jpg,"Natsuki Hanae, Takahiro Sakurai, Akira Ishida, Hiro Shimono, Yoshimasa Hosoya",Haruo Sotozaki
11012,Damage,1992-12-02,6.6,680,125.3256,111,11000000,31000000,"Drama, Romance",The life of a respected British politician at the height of his career crumbles when he becomes obsessed with his son's lover.,https://image.tmdb.org/t/p/original/alf3JOPP7EYP0iO24gwe5YfRnqo.jpg,https://image.tmdb.org/t/p/original/krhj4Fhb0G3QCmyBtEADxgFFmRX.jpg,"Jeremy Irons, Juliette Binoche, Miranda Richardson, Rupert Graves, Peter Stormare",Louis Malle
1297842,GOAT,2026-02-11,8.115,710,116.6577,100,90000000,193566330,"Animation, Comedy, Family","A small goat with big dreams gets a once-in-a-lifetime shot to join the pros and play roarball, a high-intensity, co-ed, full-contact sport dominated by the fastest, fiercest animals in the world.",https://image.tmdb.org/t/p/original/wfuqMlaExcoYiUEvKfVpUTt1v4u.jpg,https://image.tmdb.org/t/p/original/tq3h43fZy0H80vzf47MAY7R9Mxo.jpg,"Caleb McLaughlin, Gabrielle Union, Stephen Curry, Aaron Pierre, Nicola Coughlan",Tyree Dillihay
1252051,Disforia,2025-09-20,4.833,6,108.0813,82,0,0,"Horror, Thriller","Set in the near future against the backdrop of widespread looting and societal collapse, the couple formed by Esther and Tomás and their daughter Say move to their summer house so they can promptly sell it and then flee from their country to France, drawing attention from a ring of voyeurs of real-life torture streamed on the dark web.",https://image.tmdb.org/t/p/original/49pzxbf1Eftz7wQZdVDVl8OM9bg.jpg,https://image.tmdb.org/t/p/original/gYumbUCWyUI6Mutgd7oILOCunk8.jpg,"Claudia Salas, Fariba Sheikhan, Eloy Azorín, Noah Casas, Ferran Vilajosana",Christopher Cartagena
1426822,Mortal Game,2025-02-03,4.917,12,97.6395,85,0,0,"Horror, Action","A group of hunters travel to a mysterious island to track down a legendary forest creature. They soon realize their guide has set them up as bait, forcing them to confront a highly intelligent predator that terrorizes them one by one.",https://image.tmdb.org/t/p/original/iCvucorbs3hFqWshDbLe0fHzB71.jpg,https://image.tmdb.org/t/p/original/hdLsZ3dCjKt5A6xDpoo3UFgcTSm.jpg,"Deniella Alexis, Kevin Lloyd Reid, Mark Ettlinger, Madison Caan, Reece Presley",John Lechago
28322,Madness,1980-03-20,4.969,32,92.2054,89,0,0,"Thriller, Action, Crime","An escaped convicted murderer invades the cottage of a man, his wife and the wife's sister, whereupon he proceeds to torment this already dysfunctional trio with rape and violence.",https://image.tmdb.org/t/p/original/gV0J0Fqw2mYMtQbzb0ruxv9MAeZ.jpg,https://image.tmdb.org/t/p/original/7TJjD2X9GTEqyLVIJKLS85J2V47.jpg,"Joe Dallesandro, Patrizia Behn, Gianni Macchia, Lorraine De Selle, Omero Capanna",Fernando Di Leo
1510339,Mark,2025-12-25,4.0,1,109.2945,144,0,0,"Action, Thriller","Mark is suspended from his police duties for his unruly yet effective ways of operating, but when 18 children are abducted and found dead, races to catch the criminals. With only 18 hours left, he must confront powerful foes and use unconventional tactics to succeed.",https://image.tmdb.org/t/p/original/6LTDv6XHiHN0N77QIFg2tidVvhh.jpg,https://image.tmdb.org/t/p/original/6DfHl4CE88x7Rt9oyARQQm6bHXD.jpg,"Sudeepa, Deepshika Umapathy, Naveen Chandra, Shine Tom Chacko, Yogi Babu",Vijay Kartikeyaa
1292415,Beast,2026-04-10,6.3,45,95.786,114,0,0,"Action, Drama","MMA legend Patton James, now a commercial fisherman, is pulled back into the cage when his brother is in danger. Reuniting with his old coach Sammy, he commits to one final fight in one championship against the brutal champion Xavier Grau.",https://image.tmdb.org/t/p/original/7NrvUI3vnW8H3rD7ExKcTL7KRcQ.jpg,https://image.tmdb.org/t/p/original/hlZGaey4lR9hc4rGxZRAmIEsZOc.jpg,"Daniel MacPherson, Luke Hemsworth, Russell Crowe, Mojean Aria, Kelly Gale",Tyler Atkins
1239134,Bhooth Bangla,2026-04-16,6.5,10,83.0296,163,14000000,20000000,"Horror, Comedy","A man inherits a palace in rural Mangalpur and plans his sister's wedding there, but strange supernatural events and panicked locals force him to investigate the property's mysterious past.",https://image.tmdb.org/t/p/original/79RBp8afL4u4z3nVGR78z6eIvBB.jpg,https://image.tmdb.org/t/p/original/A2tzVTVtnTvpji96IZmleN78KKv.jpg,"Akshay Kumar, Wamiqa Gabbi, Paresh Rawal, Tabu, Jisshu Sengupta",Priyadarshan
1291608,Dhurandhar,2025-12-05,7.138,289,92.8225,212,14330000,170000000,"Action, Crime, Thriller","A mysterious traveler slips into the heart of Karachi's underbelly and rises through its ranks with lethal precision, only to tear the notorious ISI-Underworld nexus apart from within.",https://image.tmdb.org/t/p/original/8FHOtUpNIk5ZPEay2N2EY5lrxkv.jpg,https://image.tmdb.org/t/p/original/4DfxcN4w0FuYZHQ3JAHzpHWia1U.jpg,"Ranveer Singh, Akshaye Khanna, R. Madhavan, Arjun Rampal, Sanjay Dutt",Aditya Dhar
758308,Red Latex,2020-02-22,5.149,37,129.4559,88,150000,0,Thriller,"Eric lives with his pregnant wife in his in-laws' house because they have no money to become independent. Eric is very docile and the people around him: his wife, his father, his father-in-law, and his boss have always told him what he has to do with his life. But everything has a limit. Fed of with this situation, Eric leaves his family and escapes to the mansion of the dominatrix Mistress Gise to become her slave. Eric hopes to achieve liberation by submitting to Mistress Gise. When his family finds out, they do what they can to get him back. Meanwhile, Mistress Gise is a twisted Domina who takes Eric's slavery beyond any expected limit.",https://image.tmdb.org/t/p/original/hP1o5waM6ohMTKr4QcOtyOP1oiu.jpg,https://image.tmdb.org/t/p/original/dMX6RR0SHgI43r2CsDkF5wzozOw.jpg,"Fedra Duarte, Nestor Napolitano, Valeria Rowinski",Gerard Marcó de Mas
1368881,Ladies First,2026-05-21,6.033,214,83.6047,94,0,0,"Comedy, Fantasy","An arrogant but charismatic ladies' man finds his life of money, power and casual flings upended when he wakes up in a parallel world dominated by women.",https://image.tmdb.org/t/p/original/kjR56Yv17pbjTVBTMjqepvcus4f.jpg,https://image.tmdb.org/t/p/original/bOy625BjpCskOWnx3tD09MsKVCb.jpg,"Sacha Baron Cohen, Rosamund Pike, Tom Davis, Emily Mortimer, Weruche Opia",Thea Sharrock
1472951,Infiltrate,2026-04-10,5.2,15,111.6802,93,0,0,"Action, Thriller","In a city overrun by crime, government Agent Lily Chen is forced to choose between her duty and her family when her husband is kidnapped, and she’s blackmailed into assassinating high-level criminals to save him. As she delves deeper into the criminal underworld, Lily’s relentless pursuit of justice unravels a web of corruption, leading to a final, life-altering decision that will change her world forever.",https://image.tmdb.org/t/p/original/8Cw8GF9wG63kF8pRRXwOx2kXGt.jpg,https://image.tmdb.org/t/p/original/cfDHxkco8RrslL0Vk2XPTwTVFCe.jpg,"Orphée Ladouceur-Nguyen, Alain Moussi, Tim Rozon, Finn McCager Higgins, Lisa Berry",James Mark
744275,After We Fell,2021-09-01,7.005,2742,85.4975,99,14000000,21753705,"Drama, Romance","Just as Tessa's life begins to become unglued, nothing is what she thought it would be. Not her friends nor her family. The only person that she should be able to rely on is Hardin, who is furious when he discovers the massive secret that she's been keeping. Before Tessa makes the biggest decision of her life, everything changes because of revelations about her family.",https://image.tmdb.org/t/p/original/dU4HfnTEJDf9KvxGS9hgO7BVeju.jpg,https://image.tmdb.org/t/p/original/mxdiaM2tsx8M6W3zLgiPwAkhQfq.jpg,"Josephine Langford, Hero Fiennes Tiffin, Carter Jenkins, Louise Lombard, Chance Perdomo",Castille Landon
1084242,Zootopia 2,2025-11-26,7.648,2845,88.4694,108,150000000,1868208796,"Adventure, Animation, Comedy, Family, Mystery","After cracking the biggest case in Zootopia's history, rookie cops Judy Hopps and Nick Wilde find themselves on the twisting trail of a great mystery when Gary De'Snake arrives and turns the animal metropolis upside down. To crack the case, Judy and Nick must go undercover to unexpected new parts of town, where their growing partnership is tested like never before.",https://image.tmdb.org/t/p/original/oJ7g2CifqpStmoYQyaLQgEU32qO.jpg,https://image.tmdb.org/t/p/original/lgotja3xMoJZbynwHfcQcJAEMWH.jpg,"Ginnifer Goodwin, Jason Bateman, Ke Huy Quan, Fortune Feimster, Andy Samberg",Jared Bush
1628367,Kartavya,2026-05-15,6.438,16,71.8725,109,0,0,"Crime, Drama, Thriller","With his family's safety at stake and menacing threats closing in, a police officer must decide how far he'll go to uphold his duty.",https://image.tmdb.org/t/p/original/doTwMyAphlDL5Z8WqE3elWWvj8M.jpg,https://image.tmdb.org/t/p/original/mHm73HhpvGWfRkXNErcwc15Czrv.jpg,"Saif Ali Khan, Rasika Dugal, Sanjay Mishra, Saurabh Dwivedi, Zakir Hussain",Pulkit
278,The Shawshank Redemption,1994-09-23,8.7,30448,77.6488,142,25000000,28341469,"Drama, Crime","Imprisoned in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.",https://image.tmdb.org/t/p/original/9cqNxx0GxF0bflZmeSMuL5tnGzr.jpg,https://image.tmdb.org/t/p/original/zfbjgQE1uSd9wiPTX4VzsLi0rGG.jpg,"Tim Robbins, Morgan Freeman, Bob Gunton, William Sadler, Clancy Brown",Frank Darabont
1196067,Worldbreaker,2025-10-30,6.081,192,71.9967,95,0,0,"Science Fiction, Action, Horror","Five years ago, a tear in the fabric of reality brought creatures to our world from an alternate dimension bent on our destruction. A father hides his daughter on an island to keep her safe while he prepares her for survival and the battles to come. But when the world is about to break, no place is safe.",https://image.tmdb.org/t/p/original/ahj1JU8r0uJv7QII5Uj7tKzbEsC.jpg,https://image.tmdb.org/t/p/original/gMItMzDOyrfQGZsMWRM9tdxq5cV.jpg,"Billie Boullet, Luke Evans, Milla Jovovich, Mila Harris, Kevin Glynn",Brad Anderson
1302007,Kaulayaw,2024-07-18,5.8,6,86.6028,48,0,0,Drama,"Two college schoolmates venture into the world of cybersex to support their needs. They fulfill their fans' sexual fantasy only to realized that they too, are falling for each other.",https://image.tmdb.org/t/p/original/qifjfp5a2gHQ0WsGhTvlamPshnH.jpg,https://image.tmdb.org/t/p/original/aJxmgoNtP2BH7mRYvuf7AHB0VC3.jpg,"Micaella Raz, Matthew Francisco, Robb Guinto, Adelaide Sojo, Dante Navat",Iar Arondaing
